IMO,SHIPNAME,LAT,LON,TIMESTAMP
9060778,AASLI,54.049202,-3.166848,2025-05-21T05:02:13
9101546,AASNES,55.719112,12.633556,2025-05-21T05:01:55
9147136,AASTIND,51.313572,3.831798,2025-05-21T05:00:10
9321407,AASTUN,54.095207,11.114382,2025-05-21T05:01:20
9433389,AASVIK,51.467525,0.257450,2025-05-21T04:59:44
9904766,AASFJELL,55.222252,6.930255,2025-05-21T04:57:20
9904869,AASFOSS,45.652359,-1.171367,2025-05-21T05:01:39
